ID_Account;EconomicActivity;ID_Customer;Nperiods;minStartDate;minStartDate_Year;CAE
148918510001;CONSTR;1489185;7;03.05.2002;2002;50100
122290640001;CONSTR;1222906;33;24.07.2003;2003;45201
191997610001;CONSTR;1919976;23;20.02.2003;2003;45201
220713610001;COMER;2207136;2;06.03.2003;2003;52206
45191740004;SERV;451917;6;05.07.2004;2004;60230
355784215001;SERV;3557842;1;19.01.2004;2004;93040
2471940001;COMER;24719;35;26.01.2005;2005;51900
48310740001;CONSTR;483107;35;03.11.2005;2005;45201
148906470002;COMER;1489064;15;26.10.2005;2005;51900
195183940001;COMER;1951839;11;09.09.2005;2005;51104
361335610001;COMER;3613356;1;23.03.2005;2005;52530
391013070002;SERV;3910130;10;24.11.2005;2005;64200
488021070001;SERV;4880210;5;10.06.2005;2005;45202
3171810002;CONSTR;31718;5;24.02.2006;2006;45201
22911270002;COMER;229112;16;24.05.2006;2006;52206
55821370001;IND EXTRACT;558213;9;30.03.2006;2006;11100
82426240001;COMER;824262;21;13.09.2006;2006;51900
382899770001;IND EXTRACT;3828997;25;10.05.2006;2006;11100
475975170001;IND EXTRACT;4759751;1;15.05.2006;2006;10100
484761670001;SERV;4847616;14;01.09.2006;2006;93040
540233015002;SERV;5402330;6;24.10.2006;2006;62100
669959440001;IND TRANSF;6699594;13;08.08.2006;2006;26970
748596510001;CONSTR;7485965;14;13.03.2006;2006;45100
785458810001;COMER;7854588;25;08.05.2006;2006;51501
805054810001;IND EXTRACT;8050548;3;14.08.2006;2006;11100
805242110001;SERV;8052421;4;14.08.2006;2006;62100
806401870001;SERV;8064018;5;16.06.2006;2006;80903
808100710001;IND EXTRACT;8081007;5;28.07.2006;2006;11100
856817140001;SERV;8568171;4;17.10.2006;2006;45202
5155370002;IND TRANSF;51553;17;24.09.2007;2007;40101
5316040001;COMER;53160;21;06.02.2007;2007;51900
38264870002;COMER;382648;8;28.08.2007;2007;51104
39550870004;COMER;395508;17;26.06.2007;2007;51900
39550870005;COMER;395508;5;26.06.2007;2007;51900
48310770003;CONSTR;483107;5;15.06.2007;2007;45201
75951370001;SERV;759513;7;10.07.2007;2007;40102
80416171001;IND TRANSF;804161;32;26.09.2007;2007;15551
179645740003;HOT TUR;1796457;22;04.09.2007;2007;55113
191997670002;CONSTR;1919976;9;15.10.2007;2007;45201
191997670003;CONSTR;1919976;12;05.12.2007;2007;45201
191997670004;CONSTR;1919976;12;18.12.2007;2007;45201
217872270001;SERV;2178722;23;30.11.2007;2007;64200
287868215006;IND EXTRACT;2878682;9;07.08.2007;2007;14231
475975170002;IND EXTRACT;4759751;21;30.01.2007;2007;10100
475975170003;IND EXTRACT;4759751;27;14.09.2007;2007;10100
527516670001;COMER;5275166;35;05.12.2007;2007;51900
778619570001;IND TRANSF;7786195;11;23.10.2007;2007;40101
