ContractReference;EconomicActivity 
1068433;PARTIC
131023;PARTIC
1825316273001;PARTIC
2933662371003;PARTIC
35569;PARTIC
432149;PARTIC
4467102471001;PARTIC
515654;PARTIC
532381;PARTIC
540010;PARTIC
543416;PARTIC
5594990471001;PARTIC
670729771003;PARTIC
705745;PARTIC
856807;PARTIC
856949;PARTIC
875665;PARTIC
920708;PARTIC
922465;PARTIC
942314;PARTIC
953446;PARTIC
959884;PARTIC
959742;PARTIC
5249427271002;PARTIC
1000033;PARTIC
1001567571003;PARTIC
1001233;PARTIC
1001229771003;PARTIC
1001066;PARTIC
1000888;PARTIC
1000644;PARTIC
1000617470003;PARTIC
1000477;PARTIC
1000245271005;PARTIC
100229;PARTIC
1002466;PARTIC
100371;PARTIC
1003740771003;PARTIC
1000755870002;PARTIC
1003833;PARTIC
1003952271002;PARTIC
1004011;PARTIC
1002877;PARTIC
1004288;PARTIC
1003666;PARTIC
1000755871004;PARTIC
100435170006;PARTIC
1004414071004;PARTIC
1004422;PARTIC
1001903471003;PARTIC
1004699;PARTIC
1004414070007;PARTIC
1005211;PARTIC
1001927671002;PARTIC
1001927671001;PARTIC
1005191315001;IND EXTRACT
1005191370002;IND EXTRACT
100558;NULL
100416;NULL
1005240271001;PARTIC
100510671002;PARTIC
1002530271003;PARTIC
1002581015003;CONSTR
1002600;PARTIC
100585671004;PARTIC
1005101871002;PARTIC
1003028371002;PARTIC
1003055;PARTIC
1004214610001;PARTIC
100347571002;PARTIC
1005862671001;PARTIC
1006000;PARTIC
1005655;PARTIC
1005748471002;PARTIC
100603;NULL
1005352071001;PARTIC
1006064071001;PARTIC
1005822;PARTIC
1004041873001;PARTIC
1006244;PARTIC
1006287671001;PARTIC
1006299771002;PARTIC
1006300271003;PARTIC
1007174871001;PARTIC
1007200;PARTIC
1007335571001;PARTIC
100745;PARTIC
10041;PARTIC
1005044;PARTIC
1006411;PARTIC
1006688;PARTIC
100685371001;PARTIC
1006855;PARTIC
100473871011;PARTIC
1004866;PARTIC
1008233;PARTIC
1008273571003;PARTIC
100833971005;PARTIC
1007347671001;PARTIC
1008373271003;PARTIC
1007477;PARTIC
1007498171001;PARTIC
100546971005;PARTIC
1007559115001;PARTIC
1007559171001;PARTIC
1008400;PARTIC
1007644;PARTIC
1007888;PARTIC
1008035471003;PARTIC
1008066;PARTIC
1005488;PARTIC
1008434271001;PARTIC
1008521871008;PARTIC
1007033;PARTIC
1009258071001;PARTIC
1009299;PARTIC
100932;PARTIC
1009633;PARTIC
1009877;PARTIC
1010077;PARTIC
1003499;PARTIC
1008920670001;PARTIC
1009022;PARTIC
1011165771005;PARTIC
1011200;PARTIC
100945771004;PARTIC
1009466;PARTIC
101130;PARTIC
1010239871003;PARTIC
